VEHICLE UPDATES
+-------+---------+------------+----------------+
| Round | Vehicle | Train Loss | Train Accuracy |
|   29  |  C1_D2  |   0.6592   |     82.42%     |
|   29  |  C1_D1  |   0.6612   |     82.66%     |
|   29  |  C2_D2  |   0.6662   |     82.1%      |
|   29  |  C2_D1  |   0.6652   |     82.44%     |
|   30  |  C2_D2  |   0.6655   |     82.09%     |
|   30  |  C1_D1  |   0.6606   |     82.68%     |
|   30  |  C1_D2  |   0.6593   |     82.41%     |
|   30  |  C2_D1  |   0.6639   |     82.46%     |
|   31  |  C1_D1  |   0.6603   |     82.63%     |
|   31  |  C1_D2  |   0.6585   |     82.39%     |
|   31  |  C2_D2  |   0.6663   |     82.14%     |
|   31  |  C2_D1  |   0.6653   |     82.37%     |
|   32  |  C1_D2  |   0.6582   |     82.41%     |
|   32  |  C2_D2  |   0.666    |     82.06%     |
|   32  |  C1_D1  |   0.6595   |     82.69%     |
|   32  |  C2_D1  |   0.6639   |     82.46%     |
|   33  |  C1_D2  |   0.6585   |     82.42%     |
|   33  |  C2_D2  |   0.6644   |     82.13%     |
|   33  |  C1_D1  |   0.6591   |     82.65%     |
|   33  |  C2_D1  |   0.6636   |     82.46%     |
|   34  |  C1_D1  |   0.6591   |     82.66%     |
|   34  |  C1_D2  |   0.6581   |     82.41%     |
|   34  |  C2_D1  |   0.6628   |     82.41%     |
|   34  |  C2_D2  |   0.6648   |     82.14%     |
|   35  |  C2_D1  |   0.6623   |     82.51%     |
|   35  |  C2_D2  |   0.6647   |     82.18%     |
|   35  |  C1_D1  |   0.6581   |     82.72%     |
|   35  |  C1_D2  |   0.6578   |     82.39%     |
|   36  |  C2_D1  |   0.6629   |     82.44%     |
|   36  |  C2_D2  |   0.6647   |     82.17%     |
|   36  |  C1_D1  |   0.6585   |     82.76%     |
|   36  |  C1_D2  |   0.6577   |     82.45%     |
|   37  |  C1_D1  |   0.6585   |     82.71%     |
|   37  |  C1_D2  |   0.6569   |     82.46%     |
|   37  |  C2_D1  |   0.6625   |     82.51%     |
|   37  |  C2_D2  |   0.6647   |     82.23%     |
|   38  |  C1_D1  |   0.6575   |     82.72%     |
|   38  |  C2_D2  |   0.6638   |     82.17%     |
|   38  |  C1_D2  |   0.6571   |     82.47%     |
