VEHICLE TRAINING UPDATES
+-------+---------+------------+----------------+
| Round | Vehicle | Train Loss | Train Accuracy |
|   3   |  C2_D19 |   0.5054   |     80.19%     |
|   3   |  C2_D18 |   0.4936   |     79.32%     |
|   3   |  C2_D8  |   0.5193   |     77.9%      |
|   3   |  C2_D1  |   0.4816   |     79.96%     |
|   3   |  C2_D20 |   0.5147   |     77.9%      |
|   3   |  C2_D4  |   0.4988   |     79.31%     |
|   3   |  C2_D3  |   0.478    |     81.24%     |
|   3   |  C2_D12 |   0.4834   |     79.99%     |
|   4   |  C2_D9  |   0.4662   |     81.24%     |
|   4   |  C1_D2  |   0.4882   |     80.49%     |
|   4   |  C1_D1  |   0.4872   |     79.56%     |
|   4   |  C2_D5  |   0.4962   |     79.7%      |
|   4   |  C2_D2  |   0.4933   |     79.18%     |
|   4   |  C1_D3  |   0.4584   |     82.61%     |
|   4   |  C1_D6  |   0.4812   |     81.05%     |
|   4   |  C1_D5  |   0.4738   |     80.84%     |
|   4   |  C1_D4  |   0.497    |     78.8%      |
|   4   |  C2_D7  |   0.4827   |     80.49%     |
|   4   |  C1_D9  |   0.4974   |     80.29%     |
|   4   |  C2_D6  |   0.4788   |     80.05%     |
|   4   |  C2_D10 |   0.4608   |     82.31%     |
|   4   |  C1_D8  |   0.4793   |     80.16%     |
|   4   |  C1_D7  |   0.4746   |     81.08%     |
|   4   |  C1_D11 |   0.4811   |     79.97%     |
|   4   |  C2_D11 |   0.4923   |     79.73%     |
|   4   |  C1_D12 |   0.4841   |     81.16%     |
|   4   |  C1_D10 |   0.5149   |     78.94%     |
|   4   |  C1_D13 |   0.4707   |     80.43%     |
|   4   |  C1_D18 |   0.4804   |     80.13%     |
|   4   |  C1_D17 |   0.4738   |     81.4%      |
|   4   |  C1_D19 |   0.4674   |     80.22%     |
|   4   |  C2_D13 |   0.4638   |     82.06%     |
|   4   |  C2_D16 |   0.4747   |     80.41%     |
|   4   |  C1_D16 |   0.5035   |     78.44%     |
|   4   |  C1_D14 |   0.4853   |     79.62%     |
|   4   |  C1_D20 |   0.4875   |     79.56%     |
|   4   |  C2_D15 |   0.4828   |     80.11%     |
|   4   |  C2_D14 |   0.5016   |     78.23%     |
|   4   |  C2_D19 |   0.4902   |     80.26%     |
|   4   |  C2_D17 |   0.4835   |     79.97%     |
|   4   |  C2_D1  |   0.4698   |     80.57%     |
|   4   |  C2_D18 |   0.4785   |     79.7%      |
|   4   |  C2_D4  |   0.4875   |     79.54%     |
|   4   |  C2_D8  |   0.5037   |     79.16%     |
|   4   |  C2_D20 |   0.4971   |     78.41%     |
|   4   |  C2_D3  |   0.4621   |     82.14%     |
|   4   |  C1_D15 |   0.4768   |     80.37%     |
|   4   |  C2_D12 |   0.4715   |     80.21%     |
|   5   |  C1_D16 |   0.4905   |     78.9%      |
|   5   |  C1_D1  |   0.4746   |     80.18%     |
|   5   |  C1_D2  |   0.4783   |     80.79%     |
|   5   |  C1_D3  |   0.4472   |     82.85%     |
