node,round,train_loss,train_accuracy_pct,private_test_accuracy_pct,epsilon,delta,global_proxy_accuracy_pct,successful_updates,throughput_updates_per_sec,throughput_bytes_per_sec,bytes_tx,bytes_rx,training_ms,key_generation_ms,signature_generation_ms,signature_verification_ms,batch_verification_ms,batch_verification_receiver_ms,encryption_ms,decryption_ms,communication_tx_ms,communication_rx_ms,security_latency_ms,communication_latency_ms,action_to_response_ms,end_to_end_time_ms,device_round_execution_ms,rsu_round_execution_ms,server_round_execution_ms,energy_training_j,energy_security_j,energy_communication_j,energy_total_j,energy_idle_j,idle_latency_ms
C1_D1,1,0.6495993203587002,72.86821705426357,76.61596958174906,77552.65511192662,1e-05,,,,,12782.0,11315.0,35181.33529997431,0.0,19.065000000409782,141.54539999435656,45.169649994932115,,52.48760001268238,0.0,35.54119999171235,16.396100021665916,258.26765000238083,51.93730001337826,45451.57959999051,83210.36910000839,83210.36910000839,,,382.7729280637205,1.1239808128103614,0.3390466944873333,1.4630275072976948,103.83617157763989,47718.828850018326
C1_D10,1,0.6909560759862264,68.01139060275273,73.76425855513308,77552.65511192662,1e-05,,,,,25567.0,19837.0,74895.9865999932,0.0,15.535799990175292,166.36629999266006,,,91.39780001714826,0.0,175.39639997994527,1.6610999882686883,273.2998999999836,177.05749996821396,5322.1535999909975,83274.34709999943,83274.34709999943,,,814.8683342079261,1.1894011647999287,1.1558313597925007,2.3452325245924293,17.251334745682776,7928.00310003804
C1_D11,1,0.6357834865950575,73.39028634709697,80.41825095057035,77552.65511192662,1e-05,,,,,34089.0,32619.0,76840.92559997225,0.0,12.781400000676513,139.1116000013426,,,67.97850001021288,0.0,85.61139996163547,20.12329996796325,219.871500012232,105.73469992959872,2707.5314999965485,83273.35239999229,83273.35239999229,,,836.0292705276983,0.9568807680532337,0.6902361211404204,1.6471168891936543,13.288441625770183,6106.820600078208
C1_D12,1,0.6274078857116026,74.73501028318304,80.6083650190114,77552.65511192662,1e-05,,,,,17046.0,15578.0,79062.36119999085,0.0,12.402300024405122,281.63369998219423,,,125.83200001972727,0.0,159.74329996970482,51.520399982109666,419.8680000263266,211.2636999518145,1353.214200004004,83275.09020001162,83275.09020001162,,,860.1984898559006,1.8272655361145738,1.379129433285445,3.2063949694000184,7.793555724892766,3581.597300042631
C1_D13,1,0.6460829264286793,72.80493592785952,76.42585551330798,77552.65511192662,1e-05,,,,,12786.0,11316.0,80069.13200000417,0.0,20.408600015798584,179.6670999901835,,,98.3241000212729,0.0,50.17740000039339,4.797999979928136,298.39980002725497,54.97539998032153,730.2380999899469,83292.36550000496,83292.36550000496,,,871.1521561600455,1.2986359297186136,0.3588794110715389,1.6575153407901526,6.244811660785228,2869.8582999932114
C1_D14,1,0.6335433227847321,73.50102831830407,79.08745247148289,77552.65511192662,1e-05,,,,,42602.0,41138.0,80582.61009998387,0.0,12.287899997318164,116.97559998719953,,,49.77849998977035,0.0,156.54049997101538,45.55769995204173,179.04199997428805,202.0981999230571,,84516.4148999902,84516.4148999902,,,876.7387978878246,0.7791907838881016,1.3192970490977167,2.0984878329858185,7.7305981698371475,3552.664600108983
C1_D15,1,0.6237033170582068,75.4469229552286,80.41825095057035,77552.65511192662,1e-05,,,,,4264.0,2797.0,84412.65849999036,0.0,12.980500003322959,123.95840001408942,,,52.85949999233708,0.0,2.4735000042710453,0.03300001844763756,189.79840000974946,2.506500022718683,,84800.15970001114,84800.15970001114,,,918.4097244798952,0.8260026368424298,0.01636243214830756,0.8423650689907374,0.4247471487745643,195.19629998831078
C1_D16,1,0.6805641762535982,69.18209144122764,73.95437262357414,77552.65511192662,1e-05,,,,,25563.0,24096.0,85854.63730001356,0.0,11.701500014169142,126.66770000942051,,,106.48610000498593,0.0,130.35310001578182,36.243700014892966,244.85530002857558,166.59680003067479,,89066.2161000073,89066.2161000073,,,934.0984538241477,1.065610265724361,1.087543910600245,2.153154176324606,6.09307569905743,2800.1266999344807
C1_D17,1,0.6281673480765989,74.02309761113747,81.1787072243346,77552.65511192662,1e-05,,,,,34083.0,36879.0,87160.48590000719,0.0,11.976400011917576,120.13100000331178,,,40.83720000926405,0.0,119.0063000540249,25.748199986992404,172.9446000244934,144.7545000410173,,91040.05650000181,91040.05650000181,,,948.3060865920784,0.7526548993065953,0.9449573762677611,1.6976122755743566,7.750632383845748,3561.8714999291115
C1_D18,1,0.6245278612230764,75.08305647840533,79.08745247148289,77552.65511192662,1e-05,,,,,17044.0,15578.0,86900.43319997494,0.0,16.979700012598187,116.86599999666214,,,46.262299991212785,0.0,87.39220004645176,0.9044000180438161,180.1080000004731,88.29660006449558,,89610.20930000814,89610.20930000814,,,945.4767132157275,0.783830016002059,0.5764002052210271,1.3602302212230861,5.312424383930862,2441.371499968227
C1_D19,1,0.6397325048844019,73.35864578389496,77.56653992395437,77552.65511192662,1e-05,,,,,38344.0,32617.0,47502.29160001618,0.0,13.156300003174692,114.95459999423474,45.169649994932115,,45.38899997714907,0.0,75.45459998073056,3.924899996491149,218.66954996949062,79.37949997722171,32232.45449998649,83297.87429998396,83297.87429998396,,,516.824932608176,0.9516498814672233,0.5181893758513033,1.4698392573185266,77.24263322244585,35497.53365002107
C1_D2,1,0.6390327398825174,73.70669197911722,80.6083650190114,77552.65511192662,1e-05,,,,,29819.0,28350.0,63330.671400006395,0.0,14.702400017995387,113.37199999252334,,,45.471199991879985,0.0,280.3761000104714,6.731899979058653,173.54560000239871,287.1079999895301,16540.41749998578,83223.14069999265,83223.14069999265,,,689.0377048320696,0.7552704512104392,1.8742410239316525,2.629511475142092,42.28363096318766,19431.81569999433
C1_D20,1,0.6498405436674753,72.50435057744028,76.23574144486692,77552.65511192662,1e-05,,,,,12785.0,19838.0,90485.52250000648,0.0,11.645099992165342,117.39689999376424,,,46.81430000346154,0.0,7.443300011800602,33.94619995378889,175.85629998939112,41.38949996558949,,92927.18179998337,92927.18179998337,,,984.4824848000707,0.7653266175538301,0.2701906557753682,1.0355172733291984,4.8403237760476765,2224.4135000219103
